Country,Year,Category,Cat,value
Afghanistan,2010,Crops,Wheat and products,678
Afghanistan,2011,Crops,Wheat and products,508
Afghanistan,2012,Crops,Wheat and products,758
Afghanistan,2013,Crops,Wheat and products,775
Afghanistan,2010,Crops,Rice (Milled Equivalent),31
Afghanistan,2011,Crops,Rice (Milled Equivalent),31
Afghanistan,2012,Crops,Rice (Milled Equivalent),23
Afghanistan,2013,Crops,Rice (Milled Equivalent),24
Afghanistan,2010,Crops,Barley and products,44
Afghanistan,2011,Crops,Barley and products,34
Afghanistan,2012,Crops,Barley and products,52
Afghanistan,2013,Crops,Barley and products,52
Afghanistan,2010,Crops,Maize and products,30
Afghanistan,2011,Crops,Maize and products,30
Afghanistan,2012,Crops,Maize and products,31
Afghanistan,2013,Crops,Maize and products,31
Afghanistan,2010,Crops,Millet and products,1
Afghanistan,2011,Crops,Millet and products,1
Afghanistan,2012,Crops,Millet and products,1
Afghanistan,2013,Crops,Millet and products,1
Afghanistan,2010,Vegetables,Potatoes and products,7
Afghanistan,2011,Vegetables,Potatoes and products,6
Afghanistan,2012,Vegetables,Potatoes and products,7
Afghanistan,2013,Vegetables,Potatoes and products,9
Afghanistan,2010,Vegetables,"Pulses, Other and products",2
Afghanistan,2011,Vegetables,"Pulses, Other and products",3
Afghanistan,2012,Vegetables,"Pulses, Other and products",2
Afghanistan,2013,Vegetables,"Pulses, Other and products",3
Afghanistan,2010,Seeds,Sesame seed,1
Afghanistan,2011,Seeds,Sesame seed,1
Afghanistan,2012,Seeds,Sesame seed,1
Afghanistan,2013,Seeds,Sesame seed,1
Afghanistan,2010,Crops,Olives (including preserved),0
Afghanistan,2011,Crops,Olives (including preserved),0
Afghanistan,2012,Crops,Olives (including preserved),0
Afghanistan,2013,Crops,Olives (including preserved),0
Afghanistan,2010,Oil,"Oilcrops, Other",0
Afghanistan,2011,Oil,"Oilcrops, Other",0
Afghanistan,2012,Oil,"Oilcrops, Other",0
Afghanistan,2013,Oil,"Oilcrops, Other",0
Afghanistan,2010,Vegetables,"Vegetables, Other",157
Afghanistan,2011,Vegetables,"Vegetables, Other",129
Afghanistan,2012,Vegetables,"Vegetables, Other",126
Afghanistan,2013,Vegetables,"Vegetables, Other",122
Afghanistan,2010,Fruits,"Oranges, Mandarines",0
Afghanistan,2011,Fruits,"Oranges, Mandarines",0
Afghanistan,2012,Fruits,"Oranges, Mandarines",0
Afghanistan,2013,Fruits,"Oranges, Mandarines",0
Afghanistan,2010,Fruits,"Citrus, Other",0
Afghanistan,2011,Fruits,"Citrus, Other",2
Afghanistan,2012,Fruits,"Citrus, Other",1
Afghanistan,2013,Fruits,"Citrus, Other",2
Afghanistan,2010,Fruits,Apples and products,4
Afghanistan,2011,Fruits,Apples and products,3
Afghanistan,2012,Fruits,Apples and products,4
Afghanistan,2013,Fruits,Apples and products,4
Afghanistan,2010,Fruits,Grapes and products (excl wine),20
Afghanistan,2011,Fruits,Grapes and products (excl wine),25
Afghanistan,2012,Fruits,Grapes and products (excl wine),30
Afghanistan,2013,Fruits,Grapes and products (excl wine),31
Afghanistan,2010,Fruits,"Fruits, Other",18
Afghanistan,2011,Fruits,"Fruits, Other",15
Afghanistan,2012,Fruits,"Fruits, Other",16
Afghanistan,2013,Fruits,"Fruits, Other",17
Afghanistan,2010,Meat,Eggs,3
Afghanistan,2011,Meat,Eggs,4
Afghanistan,2012,Meat,Eggs,3
Afghanistan,2013,Meat,Eggs,5
